Country,Year,Life_Expectancy ,Adult_Mortality,Alcohol,Percentage_Expenditure, BMI ,Total_Expenditure,GDP,Population,Schooling
Australia,2014,82.7,6,9.71,10769.36305,66.1,9.42,62214.6912,2346694,20.4
Australia,2015,82.8,59,,0,66.6,,56554.3876,23789338,20.4
Austria,2010,84,75,12.1,7423.228774,55.2,11.17,46657.629,836344,15.4
Austria,2011,88,73,12.04,8272.306757,55.7,1.94,51126.74139,8391643,15.7
Austria,2012,88,7,12.26,7878.372355,56.1,11.17,48333.57273,8429991,15.7
Austria,2013,81.1,68,11.82,90.58501176,56.6,11.14,554.71532,8479375,15.7
Austria,2014,81.4,66,12.32,8350.193523,57.1,11.21,51322.63997,8541575,15.9
Austria,2015,81.5,65,,0,57.6,,43665.947,8633169,15.9
Azerbaijan,2010,71.1,13,1.98,246.5686008,48,5.33,5842.85784,954332,11.7
Azerbaijan,2011,71.6,125,1.98,263.142699,48.8,5.1,7189.691229,917382,11.7
Azerbaijan,2012,71.9,123,0.01,285.6103912,49.7,5.37,7496.335728,9295784,11.8
Azerbaijan,2013,72.2,121,2.14,275.6514934,5.6,5.54,7875.756953,941681,11.9
Azerbaijan,2014,72.5,119,0.01,306.1824313,51.5,6.4,7891.299776,953579,12.2
Azerbaijan,2015,72.7,118,,0,52.5,,55.31382,9649341,12.7
Bahamas,2010,75,161,9.19,0,61.3,7.44,,,12.6
Bahamas,2011,75,162,9.34,0,62,7.63,,,12.6
Bahamas,2012,74.9,167,9.5,0,62.6,7.43,,,12.6
Bahamas,2013,74.8,172,9.42,0,63.2,7.5,,,12.6
Bahamas,2014,75.4,16,9.45,0,63.8,7.74,,,12.6
Bahamas,2015,76.1,147,,0,64.5,,,,12.6
Bahrain,2010,76.1,73,1.93,266.7696122,6.1,3.64,2722.1389,,14.4
Bahrain,2011,76.1,76,1.66,197.7734681,6.8,3.4,2281.1242,,14.4
Bahrain,2012,76.5,71,1.7,2211.215778,61.5,4.37,23649.36661,,14.5
Bahrain,2013,76.7,7,1.65,3.968695982,62.2,4.69,251.18329,,14.5
Bahrain,2014,76.8,7,1.57,367.2556742,62.9,4.98,24983.3792,,14.5
Bahrain,2015,76.9,69,,0,63.6,,22688.87824,,14.5
Bangladesh,2010,69.9,142,0.01,62.65945432,15.2,3.6,757.6717572,15214912,8.9
Bangladesh,2011,73,14,0.01,62.34988484,15.8,3.16,835.789341,153911916,9.4
Bangladesh,2012,77,137,0.01,59.2589257,16.4,3.8,856.342857,15572753,9.9
Bangladesh,2013,71,135,0.01,52.82986467,17,2.88,951.8894535,157571292,10
Bangladesh,2014,71.4,132,0.01,10.44640334,17.7,2.82,184.56543,15945279,10
Bangladesh,2015,71.8,129,,0,18.3,,121.15812,1612886,10.2
Barbados,2010,74.7,16,8.41,154.9630863,5.7,6.17,1595.91232,,15.8
Barbados,2011,74.9,14,8.51,173.9825629,51.4,6.67,15534.1574,,15.5
Barbados,2012,75.1,12,8.61,260.0043858,52.2,7.43,15384.8749,,15.3
Barbados,2013,75.2,11,8.74,263.0372838,53,7.57,15472.7814,,15.3
Barbados,2014,75.4,1,8.82,294.9056584,53.7,7.47,15359.66971,,15.3
Barbados,2015,75.5,98,,0,54.5,,15557.8381,,15.3
Belarus,2010,73,222,14.44,8.49409518,59.3,5.55,63.38877,949583,15.5
Belarus,2011,72,232,17.31,846.9113071,59.9,4.92,6519.71753,9473172,15.5
Belarus,2012,71.9,194,16.35,91.70962117,6.5,5.1,694.243915,9464495,15.6
Belarus,2013,71.7,23,14.66,1109.854619,61.1,6.7,7978.825443,9465997,15.7
Belarus,2014,72,199,13.94,1147.1114,61.7,5.69,8318.429294,9474511,15.7
Belarus,2015,72.3,196,,0,62.3,,5949.11677,9489616,15.6
Belgium,2010,80,81,10.22,665.7356115,61.9,1.17,4438.23741,1895586,15.9
Belgium,2011,83,8,10.11,713.5297354,62.3,1.42,4772.77415,1147744,16.1
Belgium,2012,83,78,10.08,664.4738975,62.6,1.54,4474.5717,11128246,16.2
Belgium,2013,87,77,11.77,702.359357,63,1.57,4651.38647,11182817,16.3
Belgium,2014,89,76,12.6,7163.348923,63.4,1.59,47439.39684,112957,16.3
Belgium,2015,81.1,74,,0,63.7,,4356.875,11274196,16.6
Belize,2010,69.5,186,6.76,569.9527122,47,5.85,4344.15177,32168,12.4
Belize,2011,69.4,188,6.64,605.6286892,47.8,5.61,4516.24675,329192,12.4
Belize,2012,69.4,189,6.66,582.8027185,48.5,5.45,4673.63848,33671,12.5
Belize,2013,69.8,18,6.56,629.2018591,49.3,5.79,4688.538443,344181,12.9
Belize,2014,70,177,6.58,670.0920883,5.1,5.79,4852.223666,351694,12.8
Belize,2015,71,175,,0,5.9,,4849.997495,359288,12.8
Benin,2010,58.7,254,1.33,94.25737917,23,4.95,757.695974,9199259,9.5
Benin,2011,59.1,251,1.4,110.2633619,23.5,5.37,825.9427854,94682,9.8
Benin,2012,59.3,251,0.01,9.80407467,24.1,4.86,837.9551,972916,10
Benin,2013,59.5,251,0.01,87.4080423,24.6,4.59,915.2674586,14451,10.3
Benin,2014,59.7,252,0.01,90.12206791,25.2,4.59,943.686575,1286712,10.7
Benin,2015,60,249,,0,25.7,,783.94791,1575952,10.7
Bhutan,2010,67.9,228,0.28,244.0391949,2.3,5.17,2178.921383,727641,11.4
Bhutan,2011,68.3,225,0.23,289.8524057,21.1,4.73,2458.45976,7451,11.9
Bhutan,2012,68.7,223,0.01,188.7373664,21.9,3.7,2422.816,752967,12.3
Bhutan,2013,69.1,219,0.01,19.79057439,22.7,3.83,235.882889,764961,12.6
Bhutan,2014,69.4,216,0.01,209.3921344,23.6,3.57,2522.7968,776448,12.5
Bhutan,2015,69.8,211,,0,24.5,,2613.645177,787386,12.5
Bolivia (Plurinational State of),2010,68.7,22,3.95,0,49.3,5.44,,,13.8
Bolivia (Plurinational State of),2011,69.3,198,3.93,0,49.9,5.49,,,13.8
Bolivia (Plurinational State of),2012,69.8,194,3.89,0,5.6,5.56,,,13.8
Bolivia (Plurinational State of),2013,71,192,3.78,0,51.2,5.96,,,13.8
Bolivia (Plurinational State of),2014,74,189,3.62,0,51.9,6.33,,,13.8
Bolivia (Plurinational State of),2015,77,186,,0,52.6,,,,13.8
Bosnia and Herzegovina,2010,76.4,94,4.54,630.3883564,53.1,9.58,4611.47298,372284,13.3
Bosnia and Herzegovina,2011,76.9,92,4.64,7.959131146,53.7,9.71,55.156834,3688865,13.4
Bosnia and Herzegovina,2012,76.8,92,4.61,693.8226461,54.2,9.94,4716.673325,36482,13.9
Bosnia and Herzegovina,2013,77,9,4.12,75.61062911,54.7,9.46,535.86555,364999,14.2
Bosnia and Herzegovina,2014,77.2,89,4.03,732.8662491,55.3,9.57,5193.94932,35662,14.2
Bosnia and Herzegovina,2015,77.4,88,,0,55.8,,4574.9787,3535961,14.2
Botswana,2010,61.1,349,5.99,547.0386679,35.2,5.64,6346.15624,214866,12.3
Botswana,2011,62.2,325,5.76,668.9562854,35.7,5.25,7645.21469,251339,12.4
Botswana,2012,63.4,3,0.01,12.83447357,36.2,6.27,729.231453,289315,12.5
Botswana,2013,64.2,286,0.01,1.117811275,36.8,5.84,77.625783,212857,12.6
Botswana,2014,65.1,268,0.01,662.802194,37.3,5.41,7497.762376,2168573,12.6
Botswana,2015,65.7,256,,0,37.9,,6532.651,229197,12.6
Brazil,2010,73.8,154,7.52,1111.191325,52,8.27,11224.1548,196796269,13.8
Brazil,2011,74.1,152,7.58,1084.999766,52.8,8.9,13167.47289,198686688,14
Brazil,2012,74.5,148,7.55,843.1946259,53.6,8.26,12291.46685,256983,14.2
Brazil,2013,74.7,146,7.24,916.270845,54.5,8.48,12216.9446,2248632,14.2
Brazil,2014,74.8,144,7.32,83.16465362,55.3,8.32,1226.61731,24213133,15.2
Brazil,2015,75,142,,0,56.1,,8757.2622,2596218,15.2
Brunei Darussalam,2010,76.9,79,0.88,2218.364226,36.2,2.73,35268.1117,,14.2
Brunei Darussalam,2011,77.4,79,0.97,295.7730171,37.2,2.25,4717.273,,14.1
Brunei Darussalam,2012,78.3,79,0.01,3192.634413,38.2,2.3,47651.2599,,14.4
Brunei Darussalam,2013,77.1,84,0.01,2845.306444,39.2,2.61,44597.27968,,14.9
Brunei Darussalam,2014,77.6,8,0.01,269.1432784,4.2,2.65,4159.8652,,15
Brunei Darussalam,2015,77.7,78,,0,41.2,,3967.8951,,14.9
Bulgaria,2010,73.4,147,10.8,766.4454884,62.7,7.24,6843.263289,7395599,13.9
Bulgaria,2011,73.7,144,10.67,875.1495189,63.3,6.88,7813.83499,7348328,14.2
Bulgaria,2012,73.9,139,10.99,851.450672,63.9,7.11,7378.25539,735888,14.3
Bulgaria,2013,74.1,14,12.06,149.659879,64.5,7.93,7674.86559,7265115,14.4
Bulgaria,2014,74.3,138,12.03,153.1400362,65.1,8.44,7853.335191,7223938,14.8
Bulgaria,2015,74.5,137,,0,65.7,,6993.47736,7177991,15
Burkina Faso,2010,57.5,279,4.55,90.46018236,16.6,7.17,575.4464527,1565217,6.3
